Total Cells Transmitted,Success Probability
0,0.0000
301,0.0040
350,0.0063
404,0.0107
463,0.0180
526,0.0283
593,0.0403
665,0.0697
741,0.1200
822,0.3870
878,0.5060
929,0.9247
938,1.0000
