Time (minutes),Symmetric Difference Size,Total Bits
1,865,25165824
2,878,25165824
3,868,25165824
4,805,25165824
5,764,25165824
6,774,25165824
7,652,25165824
8,640,25165824
9,670,25165824
10,629,25165824
