Trial,Universe Size,Cells Transmitted
<<<<<<< HEAD
=======
1,100,19
2,200,21
3,300,22
4,400,19
5,500,20
6,600,17
7,700,22
8,800,20
9,900,22
10,1000,20
>>>>>>> c70e9efffd6adde733b50fdae79470d9612ea91a
