Trial,Universe Size,Cells Transmitted
1,100,5
<<<<<<< HEAD
=======
2,200,6
3,300,4
4,400,4
5,500,5
6,600,6
7,700,4
8,800,4
9,900,5
10,1000,4
>>>>>>> c70e9efffd6adde733b50fdae79470d9612ea91a
