Cells Transmitted,Success Probability
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0015274063484054235
8,0.0021839043494988088
9,0.002360159656698788
10,0.003
11,0.003
12,0.003
13,0.003
14,0.003
15,0.003
16,0.003
17,0.015124999999999982
18,0.015124999999999982
19,0.015124999999999982
20,0.015124999999999982
21,0.015124999999999982
22,0.015124999999999982
23,0.015124999999999982
24,0.015124999999999982
25,0.015124999999999982
26,0.015124999999999982
27,0.015124999999999982
28,0.015124999999999982
29,0.015124999999999982
30,0.015124999999999982
31,0.015124999999999982
32,0.015124999999999982
33,0.015124999999999982
34,0.16489999999999994
35,0.16489999999999994
36,0.16489999999999994
37,0.16489999999999994
38,0.16489999999999994
39,0.16489999999999994
40,0.16489999999999994
41,0.16489999999999994
42,0.16489999999999994
43,0.16489999999999994
44,0.16489999999999994
45,0.16489999999999994
46,0.16489999999999994
47,0.16489999999999994
48,0.16489999999999994
49,0.16489999999999994
50,0.16489999999999994
51,0.16489999999999994
52,0.16489999999999994
53,0.16489999999999994
54,0.16489999999999994
55,0.16489999999999994
56,0.16489999999999994
57,0.16489999999999994
58,0.16489999999999994
59,0.16489999999999994
60,0.16489999999999994
61,0.16489999999999994
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
